Player,FD Points Scored,League Points Earned
amizrac,134.94,40
dough_nut,125.54,30
princess_toadstool,122.24,25
pbric,121.44,23
thegee,117.08,22
ldelvecc,114.54,17
quin1024,112.82,16
dirtyseagulls,112.74,15
joeyfalg,108.56,14
axis_of_ignorance,106.18,13
consistentlyinconsistent,104.14,10
gridking,101.04,9
rfrang149,97.54,8
siglerru,94.32,7
nagle13,92.52,6
prezsid,84.04,4
pink149,83.98,3
aclegend89,82.74,2
