Player,FD Points Scored,League Points Earned
siglerru,136.88,40
dirtyseagulls,133.22,30
pbric,130.12,25
gridking,126.42,23
consistentlyinconsistent,126.26,22
prezsid,123.92,17
aclegend89,117.92,16
mhaight88,117.12,15
thegee,115.46,14
quin1024,114.98,13
axis_of_ignorance,114.78,10
amizrac,114.26,9
dough_nut,108.76,8
nagle13,107.82,7
princess_toadstool,107.12,6
joeyfalg,101.76,4
pink149,98.36,3
ldelvecc,96.72,2
rfrang149,89.98,1
